id;id_p;product_name;entry_date;release_date
1;40873;Rial cyan;2021-09-28T16:58:16;2021-09-28T21:17:17
2;59182;Producteur fuchsia;2021-09-28T21:53:36;2021-09-28T16:25:48
3;16240;Mauritius JBOD;2021-09-28T17:01:13;2021-09-29T05:56:04
4;48251;leverage Cotton;2021-09-28T12:51:11;2021-09-29T01:55:48
5;78007;synthesize Nesle Practical;2021-09-28T18:45:45;2021-09-29T01:17:22
6;56106;distributed plug-and-play wireless;2021-09-28T20:53:23;2021-09-28T19:09:06
7;43508;Lorraine;2021-09-29T10:06:38;2021-09-29T00:40:25
8;28677;compressing User-centric;2021-09-29T09:33:54;2021-09-28T14:48:06
9;89042;Stagiaire feed software;2021-09-29T08:38:12;2021-09-28T14:49:59
10;2957;expedite;2021-09-29T01:37:47;2021-09-28T13:49:07
